ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
15104564528,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9219,29490,20269,10,10,2000,8000,412,99,3,7.75387e+06,6.7215e+06,25935,538906890,ok(locked)
15104884521,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3572,23824,20251,10,10,2000,8000,412,99,3,7.7141e+06,6.75643e+06,25935,538915008,ok(locked)
15105208130,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7231,27412,20180,10,10,2000,8000,412,99,3,7.71992e+06,6.7609e+06,25935,538923225,ok(locked)
15105528617,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3852,24138,20285,10,10,2000,8000,412,99,3,7.7469e+06,6.73272e+06,25935,538931346,ok(locked)
15105853134,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7984,28350,20365,10,10,2000,8000,412,99,3,7.70838e+06,6.75255e+06,25935,538939586,ok(locked)
15106173470,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3725,23848,20122,10,10,2000,8000,412,99,3,7.7366e+06,6.72232e+06,25935,538947702,ok(locked)
15106497653,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7441,27898,20456,10,10,2000,8000,412,99,3,7.75683e+06,6.72198e+06,25935,538955908,ok(locked)
15106817789,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3576,23770,20192,10,10,2000,8000,412,99,3,7.71667e+06,6.77693e+06,25935,538964019,ok(locked)
15107139556,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4779,25105,20325,10,10,2000,8000,412,99,3,7.72607e+06,6.76017e+06,25448,538972152,ok(locked)
15107460317,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3618,23855,20235,10,10,2000,8000,412,99,3,7.74902e+06,6.73947e+06,25935,538980296,ok(locked)
15107780899,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4001,24235,20233,10,10,2000,8000,412,99,3,7.7049e+06,6.77242e+06,25448,538988408,ok(locked)
15108102550,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4897,25177,20279,10,10,2000,8000,412,99,3,7.72708e+06,6.7215e+06,25935,538996547,ok(locked)
15108423243,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3914,24180,20265,10,10,2000,8000,412,99,3,7.73478e+06,6.75128e+06,25935,539004679,ok(locked)
15108768010,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7973,28339,20365,10,10,2000,8000,412,99,3,7.68742e+06,6.77625e+06,25935,539013403,ok(locked)
15109088659,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3697,24071,20372,10,10,2000,8000,412,99,3,7.70222e+06,6.76932e+06,25448,539021490,ok(locked)
15109408854,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3567,23867,20299,10,10,2000,8000,412,99,3,7.70377e+06,6.76067e+06,25935,539029554,ok(locked)
15109730208,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4472,24864,20391,10,10,2000,8000,412,99,3,7.72057e+06,6.73567e+06,25448,539037656,ok(locked)
15109980433,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3605,23933,20327,10,10,2000,8000,412,99,3,7.74392e+06,6.7282e+06,25935,539043964,ok(locked)
15110300624,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3690,23948,20257,10,10,2000,8000,412,99,3,7.71323e+06,6.76323e+06,25935,539052042,ok(locked)
15110620971,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3726,24148,20421,10,10,2000,8000,412,99,3,7.69225e+06,6.79153e+06,25448,539060137,ok(locked)
15110941274,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3539,23896,20356,10,10,2000,8000,412,99,3,7.7282e+06,6.72498e+06,25935,539068206,ok(locked)
15111261373,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3671,23933,20261,10,10,2000,8000,412,99,3,7.73092e+06,6.7248e+06,25448,539076285,ok(locked)
15111581635,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3596,23978,20381,10,10,2000,8000,412,99,3,7.73067e+06,6.723e+06,25448,539084348,ok(locked)
15111902072,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3506,23797,20290,10,10,2000,8000,412,99,3,7.70845e+06,6.75812e+06,25935,539092471,ok(locked)
15112222570,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3612,23876,20263,10,10,2000,8000,412,99,3,7.73002e+06,6.73167e+06,25935,539100524,ok(locked)
15112542794,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3743,23988,20244,10,10,2000,8000,412,99,3,7.74303e+06,6.7215e+06,25448,539108597,ok(locked)
15112863498,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3621,24146,20524,10,10,2000,8000,412,99,3,7.7134e+06,6.76767e+06,25935,539116637,ok(locked)
15113183968,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3539,23994,20454,10,10,2000,8000,412,99,3,7.71607e+06,6.7381e+06,25448,539124697,ok(locked)
15113504461,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3714,24059,20344,10,10,2000,8000,412,99,3,7.73508e+06,6.73713e+06,25448,539132739,ok(locked)
15113824654,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3642,23909,20266,10,10,2000,8000,412,99,3,7.70213e+06,6.77632e+06,25935,539140815,ok(locked)
15114145011,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3624,23943,20318,10,10,2000,8000,412,99,3,7.70137e+06,6.75963e+06,25935,539148865,ok(locked)
15114465806,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3635,24213,20576,10,10,2000,8000,412,99,3,7.7361e+06,6.72152e+06,25935,539156916,ok(locked)
15114786557,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3887,24377,20489,10,10,2000,8000,412,99,3,7.69492e+06,6.79348e+06,25448,539164941,ok(locked)
15115106830,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3680,23853,20172,10,10,2000,8000,412,99,3,7.74585e+06,6.72613e+06,25448,539172973,ok(locked)
15115429201,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5911,26088,20177,10,10,2000,8000,412,99,3,7.75002e+06,6.72182e+06,25448,539181041,ok(locked)
15115752504,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6797,27051,20253,10,10,2000,8000,412,99,3,7.72273e+06,6.73688e+06,25935,539189156,ok(locked)
15116073014,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3629,23945,20314,10,10,2000,8000,412,99,3,7.68668e+06,6.77612e+06,25935,539197205,ok(locked)
15116395367,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5689,26322,20632,10,10,2000,8000,412,99,3,7.6876e+06,6.75595e+06,25448,539205274,ok(locked)
15116715470,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3720,24052,20331,10,10,2000,8000,412,99,3,7.7e+06,6.74785e+06,25448,539213284,ok(locked)
15117036351,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4130,24444,20313,10,10,2000,8000,412,99,3,7.70255e+06,6.76267e+06,25935,539221314,ok(locked)
15117359967,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7163,27360,20196,10,10,2000,8000,412,99,3,7.73045e+06,6.76305e+06,25935,539229427,ok(locked)
15117700597,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3605,23871,20265,10,10,2000,8000,412,99,3,7.70975e+06,6.76878e+06,25448,539237980,ok(locked)
15118041316,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3839,24042,20202,10,10,2000,8000,412,99,3,7.70677e+06,6.75958e+06,25448,539246544,ok(locked)
15118363023,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5040,25395,20354,10,10,2000,8000,412,99,3,7.71867e+06,6.7329e+06,25448,539254598,ok(locked)
15118685591,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4923,25601,20677,10,10,2000,8000,412,99,3,7.73777e+06,6.7357e+06,25448,539262690,ok(locked)
15119010246,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7897,28299,20401,10,10,2000,8000,412,99,3,7.70672e+06,6.7578e+06,25448,539270826,ok(locked)
15119330577,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3761,24149,20387,10,10,2000,8000,412,99,3,7.70855e+06,6.74937e+06,25448,539278842,ok(locked)
15119655855,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8759,28902,20142,10,10,2000,8000,412,99,3,7.75188e+06,6.7466e+06,25448,539286984,ok(locked)
15119978460,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5974,26193,20218,10,10,2000,8000,412,99,3,7.72807e+06,6.74793e+06,25448,539295080,ok(locked)
15120303401,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8047,28464,20416,10,10,2000,8000,412,99,3,7.72053e+06,6.74642e+06,25935,539303219,ok(locked)
15120632743,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,12419,32660,20240,10,10,2000,8000,412,99,3,7.7486e+06,6.72903e+06,25935,539311465,ok(locked)
15120956093,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6561,26820,20257,10,10,2000,8000,412,99,3,7.72835e+06,6.72148e+06,25448,539319558,ok(locked)
15121282160,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9033,29580,20546,10,10,2000,8000,412,99,3,7.7047e+06,6.77565e+06,25935,539327731,ok(locked)
15121628045,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8552,29432,20879,10,10,2000,8000,412,99,3,7.7268e+06,6.72147e+06,25448,539336414,ok(locked)
15121878344,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3649,23955,20304,10,10,2000,8000,412,99,3,7.68672e+06,6.76065e+06,25448,539342688,ok(locked)
15122198521,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3658,23917,20258,10,10,2000,8000,412,99,3,7.72502e+06,6.72152e+06,25448,539350719,ok(locked)
15122518575,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3484,23824,20338,10,10,2000,8000,412,99,3,7.7396e+06,6.72152e+06,25448,539358727,ok(locked)
15122840026,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3676,24121,20444,10,10,2000,8000,412,99,3,7.68972e+06,6.76428e+06,25448,539366759,ok(locked)
15123168209,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,10779,31529,20749,10,10,2000,8000,412,99,3,7.75293e+06,6.72962e+06,25448,539374955,ok(locked)
15123492506,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7781,28139,20357,10,10,2000,8000,412,99,3,7.69993e+06,6.77438e+06,25448,539383081,ok(locked)
15123819350,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9921,30671,20749,10,10,2000,8000,412,99,3,7.6926e+06,6.75497e+06,25935,539391264,ok(locked)
15124142080,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6230,26409,20178,10,10,2000,8000,412,99,3,7.72217e+06,6.73395e+06,25448,539399331,ok(locked)
