ts_us,device_id,gpu_name,mode,from_gpu_mhz,from_mem_mhz,to_gpu_mhz,to_mem_mhz,order,api_mem_us,api_gpu_us,api_total_us,settle_total_us,settle_after_calls_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,final_mem_mhz,power_mw,energy_mj,status
3762199348,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762199849,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762200319,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762200768,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762201223,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762201665,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762203128,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762204011,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762204461,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762204912,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762205357,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762205805,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762206258,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762206709,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762207157,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762207606,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762208073,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762208518,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85256817,Not Supported
3762211156,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762211613,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762212079,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762212530,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762212979,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762213437,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762213886,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762214337,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762214785,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762215229,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762215677,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762216123,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762216576,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762217044,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762217494,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762217937,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762218386,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762218837,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762219288,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762219736,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762220188,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762220639,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762221085,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762221525,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762221968,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762222418,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762222868,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762223315,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762223760,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762224225,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762224672,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762225118,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762226228,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
3762226677,0,"Tesla V100-SXM2-32GB",idle,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,38573,85257289,Not Supported
